Institution,Conference,% of revenue from subsidies,Subsidies,Athletics revenue
"University of Illinois at Chicago
 Illinois",Horizon League,58.60%,"$12,410,075","$21,187,176"
,,,,
"Nicholls State University
 Louisiana",Southland Conference,58.20%,"$4,718,258","$8,113,231"
,,,,
"University of Toledo
 Ohio",Mid-American Conference,57.40%,"$12,940,709","$22,559,175"
,,,,
"Western Kentucky University
 Kentucky",Conference USA,56.90%,"$15,758,435","$27,716,031"
,,,,
"University of Wisconsin at Green Bay
 Wisconsin",Horizon League,56.60%,"$4,997,939","$8,823,409"
,,,,
"Utah State University
 Utah",Mountain West Conference,56.40%,"$14,179,545","$25,152,919"
,,,,
"Montana State University at Bozeman
 Montana",Big Sky Conference,56.20%,"$10,561,845","$18,787,426"
,,,,
"University of North Dakota
 North Dakota",Big Sky Conference,56.10%,"$13,357,249","$23,815,870"
,,,,
"Mississippi Valley State University
 Mississippi",Southwestern Athletic Conference,55.00%,"$2,172,228","$3,952,319"
,,,,
"South Dakota State University
 South Dakota",The Summit League,54.50%,"$8,506,913","$15,617,366"
,,,,
"Grambling State University
 Louisiana",Southwestern Athletic Conference,54.20%,"$2,920,597","$5,389,368"
,,,,
"University of Houston
 Texas",American Athletic Conference,53.90%,"$21,744,121","$40,310,724"
,,,,
"College of William & Mary
 Virginia",Colonial Athletic Association,53.60%,"$12,691,327","$23,664,928"
,,,,
"Appalachian State University
 North Carolina",Sun Belt Conference,53.00%,"$10,283,987","$19,414,754"
,,,,
"Arkansas State University at Jonesboro
 Arkansas",Sun Belt Conference,52.80%,"$10,642,341","$20,151,793"
,,,,
"University of Texas at El Paso
 Texas",Conference USA,52.40%,"$15,016,788","$28,645,661"
,,,,
"Colorado State University at Fort Collins
 Colorado",Mountain West Conference,51.70%,"$20,029,364","$38,739,665"
,,,,
"Louisiana Tech University
 Louisiana",Conference USA,50.10%,"$9,651,372","$19,277,701"
,,,,
"Southern University
 Louisiana",Southwestern Athletic Conference,49.90%,"$5,071,085","$10,153,053"
,,,,
"University of Northern Iowa
 Iowa",Missouri Valley Conference,49.90%,"$8,464,481","$16,966,524"
,,,,
"University of Wyoming
 Wyoming",Mountain West Conference,49.80%,"$16,097,463","$32,336,367"
,,,,
"University of Idaho
 Idaho",Big Sky Conference,49.60%,"$9,381,453","$18,920,916"
,,,,
"Marshall University
 West Virginia",Conference USA,49.00%,"$14,056,395","$28,707,091"
,,,,
"Rutgers University at New Brunswick
 New Jersey",Big Ten Conference,47.40%,"$36,340,665","$76,656,339"
,,,,
"McNeese State University
 Louisiana",Southland Conference,47.00%,"$5,130,197","$10,926,299"
,,,,
"University of Cincinnati
 Ohio",American Athletic Conference,45.90%,"$27,118,373","$59,100,453"
,,,,
"University of Nevada at Las Vegas
 Nevada",Mountain West Conference,44.90%,"$19,783,274","$44,057,560"
,,,,
"University of South Florida
 Florida",American Athletic Conference,44.10%,"$21,355,970","$48,383,928"
,,,,
"University of Hawaii-Manoa
 Hawaii",Big West Conference,43.90%,"$18,005,273","$40,989,898"
,,,,
"East Carolina University
 North Carolina",American Athletic Conference,42.80%,"$15,680,447","$36,598,782"
,,,,
"University of Montana at Missoula
 Montana",Big Sky Conference,41.90%,"$8,642,945","$20,609,017"
,,,,
"University of Southern Mississippi
 Mississippi",Conference USA,40.00%,"$9,413,473","$23,536,254"
,,,,
"University of Nevada at Reno
 Nevada",Mountain West Conference,39.10%,"$10,685,143","$27,324,338"
,,,,
"North Dakota State University
 North Dakota",The Summit League,38.60%,"$7,994,050","$20,712,638"
,,,,
"University of Memphis
 Tennessee",American Athletic Conference,38.50%,"$19,337,485","$50,278,503"
,,,,
"University of Connecticut
 Connecticut",American Athletic Conference,38.00%,"$27,203,031","$71,519,433"
,,,,
"University of New Mexico
 New Mexico",Mountain West Conference,36.50%,"$17,239,472","$47,199,769"
,,,,
"California State University at Fresno
 California",Mountain West Conference,36.40%,"$13,101,250","$36,038,183"
,,,,
"University of New Orleans
 Louisiana",Southland Conference,33.00%,"$1,725,273","$5,224,996"
,,,,
"Wichita State University
 Kansas",Missouri Valley Conference,30.70%,"$7,514,236","$24,481,122"
,,,,
"University of Louisiana at Lafayette
 Louisiana",Sun Belt Conference,26.50%,"$5,649,393","$21,297,114"
,,,,
"Boise State University
 Idaho",Mountain West Conference,25.80%,"$11,799,384","$45,706,336"
,,,,
"University of Maryland at College Park
 Maryland",Big Ten Conference,24.70%,"$18,121,113","$73,434,869"
,,,,
"Oregon State University
 Oregon",Pacific-12 Conference,19.40%,"$12,285,453","$63,301,794"
,,,,
"University of Colorado at Boulder
 Colorado",Pacific-12 Conference,19.00%,"$12,209,473","$64,226,758"
,,,,
"Washington State University
 Washington",Pacific-12 Conference,18.60%,"$10,104,638","$54,426,818"
,,,,
"University of Utah
 Utah",Pacific-12 Conference,17.50%,"$9,862,106","$56,470,310"
,,,,
"University of Virginia
 Virginia",Atlantic Coast Conference,15.80%,"$13,235,814","$83,697,971"
,,,,
"Arizona State University
 Arizona",Pacific-12 Conference,13.50%,"$10,073,205","$74,729,269"
,,,,
"Virginia Tech
 Virginia",Atlantic Coast Conference,11.10%,"$8,110,828","$73,065,186"
,,,,
"University of North Carolina at Chapel Hill
 North Carolina",Atlantic Coast Conference,10.80%,"$9,078,593","$83,771,913"
,,,,
"Georgia Institute of Technology
 Georgia",Atlantic Coast Conference,10.40%,"$7,107,777","$68,469,538"
,,,,
"North Carolina State University
 North Carolina",Atlantic Coast Conference,9.50%,"$6,708,651","$70,500,811"
,,,,
"University of Louisville
 Kentucky",Atlantic Coast Conference,8.80%,"$7,768,599","$88,745,348"
,,,,
"University of Arizona
 Arizona",Pacific-12 Conference,7.90%,"$7,901,134","$99,911,034"
,,,,
"Florida State University
 Florida",Atlantic Coast Conference,7.60%,"$7,980,366","$104,774,474"
,,,,
"University of Minnesota-Twin Cities
 Minnesota",Big Ten Conference,6.60%,"$7,011,066","$106,176,156"
,,,,
"Oklahoma State University at Stillwater
 Oklahoma",Big 12 Conference,6.40%,"$7,521,475","$117,803,302"
,,,,
"University of Wisconsin at Madison
 Wisconsin",Big Ten Conference,6.30%,"$8,073,360","$127,910,918"
,,,,
"Clemson University
 South Carolina",Atlantic Coast Conference,5.90%,"$4,375,745","$74,793,322"
,,,,
"University of South Carolina at Columbia
 South Carolina",Southeastern Conference,5.70%,"$5,631,976","$98,619,479"
,,,,
"University of California at Berkeley
 California",Pacific-12 Conference,5.50%,"$4,982,173","$90,262,142"
,,,,
"Texas Tech University
 Texas",Big 12 Conference,5.30%,"$4,086,756","$76,723,413"
,,,,
"University of Mississippi
 Mississippi",Southeastern Conference,5.10%,"$3,886,423","$75,849,000"
,,,,
"University of Illinois at Urbana-Champaign
 Illinois",Big Ten Conference,4.90%,"$3,927,372","$80,848,569"
,,,,
"Mississippi State University
 Mississippi",Southeastern Conference,4.30%,"$2,650,000","$62,275,111"
,,,,
"University of Alabama at Tuscaloosa
 Alabama",Southeastern Conference,3.90%,"$5,997,100","$153,234,273"
,,,,
"Auburn University
 Alabama",Southeastern Conference,3.90%,"$4,384,800","$113,716,004"
,,,,
"Indiana University at Bloomington
 Indiana",Big Ten Conference,3.60%,"$3,008,362","$84,668,779"
,,,,
"University of Washington
 Washington",Pacific-12 Conference,3.50%,"$3,549,679","$100,275,187"
,,,,
"University of Florida
 Florida",Southeastern Conference,3.50%,"$4,308,442","$124,611,305"
,,,,
"University of Georgia
 Georgia",Southeastern Conference,3.20%,"$3,274,712","$103,495,587"
,,,,
"University of California at Los Angeles
 California",Pacific-12 Conference,3.10%,"$2,711,272","$86,426,780"
,,,,
"Iowa State University
 Iowa",Big 12 Conference,2.90%,"$1,957,396","$68,170,381"
,,,,
"University of Kansas
 Kansas",Big 12 Conference,2.60%,"$2,564,374","$97,681,066"
,,,,
"University of Arkansas at Fayetteville
 Arkansas",Southeastern Conference,2.00%,"$1,936,405","$96,793,972"
,,,,
"University of Missouri at Columbia
 Missouri",Southeastern Conference,1.80%,"$1,515,000","$83,718,587"
,,,,
"University of Oregon
 Oregon",Pacific-12 Conference,1.10%,"$2,155,099","$196,030,398"
,,,,
"Michigan State University
 Michigan",Big Ten Conference,1.00%,"$1,094,958","$104,677,456"
,,,,
"Texas A&M University at College Station
 Texas",Southeastern Conference,1.00%,"$1,241,457","$119,475,871"
,,,,
"University of Kentucky
 Kentucky",Southeastern Conference,0.90%,"$861,548","$96,685,489"
,,,,
"University of Iowa
 Iowa",Big Ten Conference,0.60%,"$683,917","$105,958,954"
,,,,
"University of Michigan at Ann Arbor
 Michigan",Big Ten Conference,0.20%,"$256,316","$157,899,820"
,,,,
"Louisiana State University at Baton Rouge
 Louisiana",Southeastern Conference,0.00%,$0,"$133,679,256"
,,,,
"Ohio State University
 Ohio",Big Ten Conference,0.00%,$0,"$145,232,681"
,,,,
"University of Oklahoma at Norman
 Oklahoma",Big 12 Conference,0.00%,$0,"$129,226,692"
,,,,
"University of Texas at Austin
 Texas",Big 12 Conference,0.00%,$0,"$161,035,182"
,,,,
"Purdue University at West Lafayette
 Indiana",Big Ten Conference,0.00%,$0,"$71,372,206"
,,,,
"University of Nebraska at Lincoln
 Nebraska",Big Ten Conference,0.00%,$0,"$94,797,692"
,,,,
Sources:,,,,
"NCAA Revenue and Expense Reports, 2010-2014 and the Department of Education’s Integrated Postsecondary Educat",,,,
