RK,SCHOOL,CONF,COACH,SCHOOL PAY,TOTAL PAY,MAX BONUS,ASST PAY TOTAL,SCHOOL BUYOUT AS OF 4/1/19
35,Georgia,SEC,Sam Pittman,"$825,000","$825,000","$225,000","$6,420,000",--
36,Tennessee,SEC,Will Friend,"$805,000","$805,000","$120,000","$5,675,000",--
37,Tennessee,SEC,Chris Rumph,"$805,000","$805,000","$120,000","$5,675,000",--
38,Ohio State,Big Ten,Kevin Wilson,"$800,000","$800,000","$306,000","$7,383,938",--
39,Texas,Big 12,Tim Beck,"$800,000","$800,000","$95,000","$5,955,000",--
40,Oklahoma State,Big 12,Mike Yurcich,"$800,000","$800,000","$215,000","$4,150,000",--
41,Nebraska,Big Ten,Erik Chinander,"$800,000","$800,000","$320,000","$4,500,000",--
42,LSU,SEC,Steve Ensminger,"$800,000","$800,000","$275,000","$6,470,000",--
43,Texas A&M,SEC,Darrell Dickey,"$800,000","$800,000","$170,000","$6,789,640",--
44,Wisconsin,Big Ten,Jim Leonhard,"$795,200","$795,200",$0,"$4,114,500",--
45,Alabama,SEC,Craig Kuligowski,"$750,000","$750,000","$165,000","$6,123,723",--
46,Oregon,Pac-12,Marcus Arroyo,"$750,000","$750,000","$130,000","$5,345,000",--
47,California,Pac-12,Peter Sirmon,"$750,000","$750,000","$50,000","$3,742,000",--
48,Illinois,Big Ten,Hardy Nickerson,"$750,000","$750,000","$273,000","$3,614,150",--
49,Ohio State,Big Ten,Larry Johnson,"$750,000","$750,000","$286,875","$7,383,938",--
50,Florida State,ACC,Walter Bell,"$725,000","$725,000","$121,667","$5,715,000",--
51,Iowa,Big Ten,Phil Parker,"$725,000","$725,000",$0,"$4,345,000",--
52,Wisconsin,Big Ten,Joe Rudolph,"$720,200","$720,200",$0,"$4,114,500",--
53,Washington,Pac-12,Bush Hamdan,"$715,000","$715,000","$91,000","$5,465,040",--
54,Minnesota,Big Ten,Kirk Ciarrocca,"$710,000","$710,000","$145,000","$3,320,000",--
55,Minnesota,Big Ten,Robb Smith,"$710,000","$710,000","$145,000","$3,320,000",--
56,Tennessee,SEC,Kevin Sherrer,"$705,000","$705,000","$120,000","$5,675,000",--
57,Colorado,Pac-12,D.J. Eliot,"$700,000","$700,625","$134,615","$3,352,250",--
58,Arizona State,Pac-12,Rob Likens,"$700,000","$700,000","$114,000","$3,730,000",--
59,Mississippi,SEC,Phil Longo,"$700,000","$700,000",$0,"$5,025,000",--
60,Nebraska,Big Ten,Troy Walters,"$700,000","$700,000","$280,000","$4,500,000",--
61,UCLA,Pac-12,Jerry Azzinaro,"$700,000","$700,000","$100,000","$4,170,000",--
62,Iowa,Big Ten,Brian Ferentz,"$685,000","$685,000",$0,"$4,345,000",--
63,Florida State,ACC,Greg Frey,"$675,000","$675,000","$113,333","$5,715,000",--
64,California,Pac-12,Beau Baldwin,"$650,000","$652,000","$50,000","$3,742,000",--
65,Kentucky,SEC,Matt House,"$650,000","$651,200","$108,333","$4,356,000",--
66,Auburn,SEC,Rodney Garner,"$650,000","$650,500","$202,500","$6,555,600",--
67,Iowa State,Big 12,Jon Heacock,"$650,000","$650,000","$130,000","$2,982,500",--
68,Texas,Big 12,Herb Hand,"$650,000","$650,000","$95,000","$5,955,000",--
69,Maryland,Big Ten,Matt Canada,"$650,000","$650,000","$225,000","$3,600,000",--
70,Oregon,Pac-12,Joe Salave'a,"$650,000","$650,000","$130,000","$5,345,000",--
71,UCLA,Pac-12,Justin Frye,"$650,000","$650,000","$100,000","$4,170,000",--
72,Texas Tech,Big 12,David Gibbs,"$650,000","$650,000","$216,667","$3,008,000",--
73,South Carolina,SEC,Bryan McClendon,"$650,000","$650,000","$115,000","$5,050,000",--
74,Maryland,Big Ten,Andy Buh,"$650,000","$650,000","$200,000","$3,600,000",--
75,Alabama,SEC,Pete Golding,"$650,000","$650,000","$143,000","$6,123,723",--
76,Louisville,ACC,Mike Summers,"$632,000","$632,000",$0,"$4,222,000",--
77,Washington State,Pac-12,Tracy Claeys,"$625,000","$625,000","$138,125","$3,228,500",--
78,Oklahoma,Big 12,Bill Bedenbaugh,"$625,000","$625,000","$125,000","$5,133,000",--
79,Michigan State,Big Ten,Mike Tressel,"$622,000","$622,000","$214,759","$4,526,009",--
80,Purdue,Big Ten,Nick Holt,"$620,000","$620,000","$217,000","$3,465,000",--
81,Louisville,ACC,Chris Klenakis,"$607,500","$607,500",$0,"$4,222,000",--
82,Louisville,ACC,Lonnie Galloway,"$607,500","$607,500",$0,"$4,222,000",--
83,Missouri,SEC,Ryan Walters,"$605,000","$605,000","$184,400","$4,380,000",--
84,Penn State,Big Ten,Brent Pry,"$603,643","$603,643",--,"$603,643",--
85,LSU,SEC,Tommie Robinson,"$600,000","$600,000","$125,000","$6,470,000",--
86,South Carolina,SEC,Eric Wolford,"$600,000","$600,000","$115,000","$5,050,000",--
87,Oklahoma State,Big 12,Jim Knowles,"$600,000","$600,000","$165,000","$4,150,000",--
88,Arkansas,SEC,Joe Craddock IV,"$600,000","$600,000","$200,000","$3,945,000",--
89,Rutgers,Big Ten,John McNulty,"$600,000","$600,000","$150,000","$3,129,155",--
90,Texas A&M,SEC,Jim Turner,"$600,000","$600,000","$105,000","$6,789,640",--
91,Texas A&M,SEC,Dameyune Craig,"$600,000","$600,000","$105,000","$6,789,640",--
92,Arizona,Pac-12,Noel Mazzone,"$600,000","$600,000","$55,000","$3,155,000",--
93,North Carolina State,ACC,Dave Huxtable,"$600,000","$600,000","$175,000","$3,736,201",--
94,Mississippi State,SEC,Luke Getsy,"$600,000","$600,000","$50,000","$3,575,000",--
95,Arkansas,SEC,John Chavis,"$595,000","$595,000","$198,333","$3,945,000",--
96,Florida,SEC,Sal Sunseri,"$576,500","$576,500","$230,000","$4,855,000",--
97,Florida,SEC,Billy Gonzales,"$576,500","$576,500","$230,000","$4,855,000",--
98,Florida,SEC,John Hevesy,"$576,500","$576,500","$230,000","$4,855,000",--
99,Texas A&M,SEC,Elijah Robinson,"$575,000","$575,000","$105,000","$6,789,640",--
100,North Carolina State,ACC,Eliah Drinkwitz,"$575,000","$575,000","$175,000","$3,736,201",--
101,Georgia Tech,ACC,Nate Woody,"$575,000","$575,000","$147,917","$2,813,072",--
102,Oklahoma,Big 12,Ruffin McNeill,"$570,000","$570,000","$114,000","$5,133,000",--
103,Michigan State,Big Ten,Dave Warner,"$562,001","$562,001","$193,847","$4,526,009",--
104,Arizona,Pac-12,Marcel Yates,"$560,000","$560,000","$55,000","$3,155,000",--
105,Oregon State,Pac-12,Tim Tibesar,"$550,008","$550,008","$45,834","$3,075,060",--
106,Washington,Pac-12,Bob Gregory,"$550,008","$550,008","$91,000","$5,465,040",--
107,Georgia,SEC,Dell McGee,"$550,000","$550,000","$195,000","$6,420,000",--
108,Virginia,ACC,Robert Anae,"$550,000","$550,000","$137,500","$2,975,000",--
109,Michigan State,Big Ten,Jim Bollman,"$542,001","$542,001","$186,923","$4,526,009",--
110,Clemson,ACC,Robbie Caldwell,"$540,000","$541,500","$95,000","$6,825,000",--
111,Iowa,Big Ten,Ken O'Keefe,"$540,000","$540,000",$0,"$4,345,000",--
112,Auburn,SEC,Larry Porter,"$525,000","$525,500","$158,750","$6,555,600",--
113,Alabama,SEC,Josh Gattis,"$525,000","$525,000","$115,500","$6,123,723",--
114,Arizona State,Pac-12,Danny Gonzales,"$525,000","$525,000","$110,500","$3,730,000",--
115,Texas,Big 12,Stanley Drayton,"$525,000","$525,000","$95,000","$5,955,000",--
116,Michigan,Big Ten,Ed Warinner,"$525,000","$525,000","$175,000","$5,875,000",--
117,Utah,Pac-12,Troy Taylor,"$525,000","$525,000","$87,500","$3,625,000",--
118,Utah,Pac-12,Morgan Scalley,"$525,000","$525,000","$43,750","$3,625,000",--
119,Michigan,Big Ten,Greg Mattison,"$525,000","$525,000","$87,500","$5,875,000",--
120,Ohio State,Big Ten,Tony Alford,"$525,000","$525,000","$200,813","$7,383,938",--
121,Utah,Pac-12,Jim Harding,"$525,000","$525,000","$43,750","$3,625,000",--
122,Kansas,Big 12,Doug Meacham,"$520,000","$521,000","$50,000","$3,002,299",--
123,Texas A&M,SEC,Bradley Dale Peveto,"$510,870","$510,870","$105,000","$6,789,640",--
124,Tennessee,SEC,David Johnson,"$505,000","$505,000","$120,000","$5,675,000",--
125,Tennessee,SEC,Tracy Rocker,"$505,000","$505,000","$120,000","$5,675,000",--
126,Indiana,Big Ten,Mike DeBord,"$502,500","$502,500","$110,000","$3,104,903",--
127,West Virginia,Big 12,Jake Spavital,"$501,000","$501,000","$110,000","$3,447,575",--
128,West Virginia,Big 12,Joe Wickline,"$501,000","$501,000","$110,000","$3,447,575",--
129,Kansas,Big 12,Clint Bowen,"$500,000","$501,000","$50,000","$3,002,299",--
130,Kentucky,SEC,Darin Hinshaw,"$500,000","$500,900","$83,333","$4,356,000",--
131,Colorado,Pac-12,Darrin Chiaverini,"$500,000","$500,625","$96,153","$3,352,250",--
132,Washington,Pac-12,Scott Huff,"$500,004","$500,004","$91,000","$5,465,040",--
133,Oregon State,Pac-12,Brian Lindgren,"$500,004","$500,004","$41,667","$3,075,060",--
134,South Carolina,SEC,Lance Thompson,"$500,000","$500,000","$115,000","$5,050,000",--
135,South Carolina,SEC,Dan Werner,"$500,000","$500,000","$115,000","$5,050,000",--
136,Michigan,Big Ten,Chris Partridge,"$500,000","$500,000","$83,333","$5,875,000",--
137,Texas,Big 12,Craig Naivar,"$500,000","$500,000","$95,000","$5,955,000",--
138,Iowa,Big Ten,Reese Morgan,"$500,000","$500,000",$0,"$4,345,000",--
139,Illinois,Big Ten,Rod Smith,"$500,000","$500,000","$210,000","$3,614,150",--
140,Mississippi,SEC,Freddie Roach,"$500,000","$500,000",$0,"$5,025,000",--
141,Ohio State,Big Ten,Bill Davis,"$500,000","$500,000","$191,250","$7,383,938",--
142,UCLA,Pac-12,Paul Rhoads,"$500,000","$500,000","$100,000","$4,170,000",--
143,Oklahoma,Big 12,Kerry Cooks,"$500,000","$500,000","$100,000","$5,133,000",--
144,Texas A&M,SEC,Terry Price,"$500,000","$500,000","$105,000","$6,789,640",--
145,Ohio State,Big Ten,Greg Studrawa,"$500,000","$500,000","$191,250","$7,383,938",--
146,Oklahoma,Big 12,Cale Gundy,"$500,000","$500,000","$100,000","$5,133,000",--
147,Virginia Tech,ACC,Brad Cornelsen,"$490,000","$490,000","$85,000","$3,685,000",--
148,Alabama,SEC,Brent Key,"$490,000","$490,000","$107,800","$6,123,723",--
149,Kansas State,Big 12,Sean Snyder,"$480,000","$488,000","$173,600","$3,599,000",--
150,LSU,SEC,James Cregg,"$485,000","$485,000","$75,000","$6,470,000",--
151,Florida State,ACC,Odell Haggins,"$482,000","$482,000","$85,333","$5,715,000",--
152,Clemson,ACC,Danny Pearman,"$480,000","$481,500","$95,000","$6,825,000",--
153,Kansas State,Big 12,Charlie Dickey,"$480,000","$480,000","$173,600","$3,599,000",--
154,Texas A&M,SEC,Tim Brewster,"$478,770","$478,770","$105,000","$6,789,640",--
155,Rutgers,Big Ten,Jay Niemann,"$477,405","$477,405","$39,783","$3,129,155",--
156,Missouri,SEC,Brick Haley,"$477,000","$477,000","$148,560","$4,380,000",--
157,Washington,Pac-12,Matt Lubick,"$475,008","$475,008","$91,000","$5,465,040",--
158,Florida State,ACC,Mark Snyder,"$475,000","$475,000","$80,000","$5,715,000",--
159,Nebraska,Big Ten,Mike Dawson,"$475,000","$475,000","$190,000","$4,500,000",--
160,Nebraska,Big Ten,Greg Austin,"$475,000","$475,000","$190,000","$4,500,000",--
161,Texas A&M,SEC,Jay Graham,"$475,000","$475,000","$105,000","$6,789,640",--
162,Nebraska,Big Ten,Jovan Dewitt,"$475,000","$475,000","$190,000","$4,500,000",--
163,South Carolina,SEC,Coleman Hutzler,"$475,000","$475,000","$115,000","$5,050,000",--
164,LSU,SEC,Jerry Sullivan,"$460,000","$460,000","$75,000","$6,470,000",--
165,Cincinnati,AAC,Mike Denbrock,"$460,000","$460,000","$76,667","$2,425,000",--
166,Clemson,ACC,Brandon Streeter,"$455,000","$456,500","$95,000","$6,825,000",--
167,Florida,SEC,Greg Knox,"$451,500","$451,500","$180,000","$4,855,000",--
168,California,Pac-12,Steve Greatwood,"$450,000","$451,500","$50,000","$3,742,000",--
169,Kentucky,SEC,Vince Marrow,"$450,000","$450,900","$75,000","$4,356,000",--
170,UCLA,Pac-12,Dana Bible,"$450,000","$450,000","$100,000","$4,170,000",--
171,Texas A&M,SEC,Maurice Linguist,"$450,000","$450,000","$105,000","$6,789,640",--
172,Oregon,Pac-12,Keith Heyward,"$450,000","$450,000","$130,000","$5,345,000",--
173,North Carolina,ACC,Chris Kapilovic,"$450,000","$450,000","$75,000","$3,207,000",--
174,Purdue,Big Ten,Anthony Poindexter,"$450,000","$450,000","$157,500","$3,465,000",--
175,North Carolina State,ACC,Dwayne Ledford,"$450,000","$450,000","$100,000","$3,736,201",--
176,Virginia Tech,ACC,James Shibest,"$445,000","$445,000","$80,000","$3,685,000",--
177,Kansas State,Big 12,Blake Seiler,"$440,000","$442,000","$160,800","$3,599,000",--
178,Kansas State,Big 12,Andre Coleman,"$440,000","$442,000","$160,800","$3,599,000",--
179,Clemson,ACC,Mike Reed,"$440,000","$441,500","$95,000","$6,825,000",--
180,Michigan State,Big Ten,Brad Salem,"$438,001","$438,001","$150,923","$4,526,009",--
181,Michigan State,Big Ten,Mark Staten,"$438,000","$438,000","$150,923","$4,526,009",--
182,Iowa,Big Ten,Seth Wallace,"$435,000","$435,000",$0,"$4,345,000",--
183,Oklahoma,Big 12,Shane Beamer,"$435,000","$435,000","$87,000","$5,133,000",--
184,Oklahoma,Big 12,Jay Boulware,"$435,000","$435,000","$87,000","$5,133,000",--
185,Alabama,SEC,Jeff Banks,"$433,723","$433,723","$121,000","$6,123,723",--
186,Florida,SEC,Brian Johnson,"$426,500","$426,500","$170,000","$4,855,000",--
187,Kentucky,SEC,John Schlarman,"$425,000","$425,900","$70,833","$4,356,000",--
188,Oregon State,Pac-12,Jim Michalczik,"$425,004","$425,004","$35,417","$3,075,060",--
189,Purdue,Big Ten,Brian Brohm,"$425,000","$425,000","$148,750","$3,465,000",--
190,Alabama,SEC,Joe Pannunzio,"$425,000","$425,000","$93,500","$6,123,723",--
191,Auburn,SEC,J.B. Grimes,"$425,000","$425,000","$146,250","$6,555,600",--
192,Mississippi,SEC,Jacob Peeler,"$425,000","$425,000",$0,"$5,025,000",--
193,Florida State,ACC,Raymond Woodie,"$425,000","$425,000","$71,667","$5,715,000",--
194,Michigan State,Big Ten,Terrence Samuel,"$422,001","$422,001","$145,385","$4,526,009",--
195,Michigan State,Big Ten,Ron Burton,"$422,001","$422,001","$145,385","$4,526,009",--
196,Wisconsin,Big Ten,Chris Haering,"$420,200","$420,200",$0,"$4,114,500",--
197,Arizona State,Pac-12,Shawn Slocum,"$420,000","$420,000","$108,400","$3,730,000",--
198,Georgia,SEC,Tray Scott,"$420,000","$420,000","$195,000","$6,420,000",--
199,Oklahoma State,Big 12,Joe Bob Clements,"$420,000","$420,000","$120,000","$4,150,000",--
200,Oklahoma State,Big 12,Josh Henson,"$420,000","$420,000","$120,000","$4,150,000",--
201,Missouri,SEC,Andy Hill,"$417,500","$417,500","$131,900","$4,380,000",--
202,California,Pac-12,Tim DeRuyter,"$415,000","$416,500","$50,000","$3,742,000",--
203,Purdue,Big Ten,JaMarcus Shephard,"$415,000","$415,000","$145,250","$3,465,000",--
204,Michigan State,Big Ten,Paul Haynes,"$410,002","$410,002","$141,924","$4,526,009",--
205,LSU,SEC,Corey Raymond,"$410,000","$410,000","$75,000","$6,470,000",--
206,Oklahoma State,Big 12,Kasey Dunn,"$410,000","$410,000","$117,500","$4,150,000",--
207,Kansas State,Big 12,Brian Norwood,"$405,000","$405,000","$149,600","$3,599,000",--
208,North Carolina,ACC,Tommy Thigpen,"$405,000","$405,000","$67,500","$3,207,000",--
209,Auburn,SEC,Tim Horton,"$400,000","$402,100","$140,000","$6,555,600",--
210,Indiana,Big Ten,Darren Hiller,"$402,000","$402,000","$110,000","$3,104,903",--
211,Washington State,Pac-12,Jeff Phelps,"$401,500","$401,500","$60,187","$3,228,500",--
212,Tulsa,AAC,Bill Young,"$401,191","$401,191",--,"$401,191",--
213,Kansas,Big 12,Tony Hull,"$400,000","$401,000","$50,000","$3,002,299",--
214,Kansas,Big 12,Kenny Perry,"$399,999","$400,999","$50,000","$3,002,299",--
215,Colorado,Pac-12,Klayton Adams,"$400,000","$400,625","$76,923","$3,352,250",--
216,Auburn,SEC,Greg Brown,"$400,000","$400,500","$133,750","$6,555,600",--
217,Wyoming,Mt. West,Scottie Hazelton,"$400,004","$400,474",$0,"$1,924,297",--
218,Houston,AAC,Mark D'Onofrio,"$400,000","$400,000","$68,000","$2,136,000",--
219,Mississippi State,SEC,Bob Shoop,"$400,000","$400,000","$33,333","$3,575,000",--
220,Mississippi,SEC,Jason Jones,"$400,000","$400,000",$0,"$5,025,000",--
221,South Carolina,SEC,Bobby Bentley,"$400,000","$400,000","$115,000","$5,050,000",--
222,Mississippi,SEC,Maurice Harris,"$400,000","$400,000",$0,"$5,025,000",--
223,Maryland,Big Ten,Jimmy Brumbaugh,"$400,000","$400,000","$175,000","$3,600,000",--
224,Mississippi,SEC,Derrick Nix,"$400,000","$400,000",$0,"$5,025,000",--
225,Oklahoma,Big 12,Dennis Simmons,"$400,000","$400,000","$80,000","$5,133,000",--
226,Texas,Big 12,Oscar Giles,"$400,000","$400,000","$95,000","$5,955,000",--
227,Indiana,Big Ten,Mark Hagen,"$400,000","$400,000","$110,000","$3,104,903",--
228,Maryland,Big Ten,Chris Beatty,"$400,000","$400,000","$130,000","$3,600,000",--
229,Michigan,Big Ten,Michael Zordich,"$400,000","$400,000","$66,667","$5,875,000",--
230,Arkansas,SEC,Dustin Fry,"$400,000","$400,000","$133,333","$3,945,000",--
231,Mississippi State,SEC,Mark Hudspeth,"$400,000","$400,000","$33,333","$3,575,000",--
232,Arizona,Pac-12,Joe Gilbert,"$400,000","$400,000","$55,000","$3,155,000",--
233,Utah,Pac-12,Gary Andersen,"$400,000","$400,000","$33,333","$3,625,000",--
234,Texas,Big 12,Derek Warehime,"$400,000","$400,000","$95,000","$5,955,000",--
235,Houston,AAC,Kendal Briles,"$400,000","$400,000","$68,000","$2,136,000",--
236,Missouri,SEC,Brad Davis,"$400,000","$400,000","$127,000","$4,380,000",--
237,Oklahoma,Big 12,Tim Kish,"$400,000","$400,000","$80,000","$5,133,000",--
238,UCLA,Pac-12,Don Pellum,"$400,000","$400,000","$100,000","$4,170,000",--
239,Virginia,ACC,Nick Howell,"$400,000","$400,000","$100,000","$2,975,000",--
240,Nebraska,Big Ten,Sean Beckton,"$400,000","$400,000","$160,000","$4,500,000",--
241,Mississippi,SEC,Jack Bicknell Jr.,"$400,000","$400,000",$0,"$5,025,000",--
242,Wisconsin,Big Ten,Ted Gilmore,"$395,200","$395,200",$0,"$4,114,500",--
243,Wisconsin,Big Ten,Inoke Breckterfield,"$395,200","$395,200",$0,"$4,114,500",--
244,Memphis,AAC,Chris Ball,"$390,000","$390,000","$32,500","$2,635,000",--
245,LSU,SEC,Greg McMahon,"$385,000","$385,000","$75,000","$6,470,000",--
246,North Carolina State,ACC,Kevin Patrick,"$385,000","$385,000","$100,000","$3,736,201",--
247,LSU,SEC,Bill Busch,"$385,000","$385,000","$75,000","$6,470,000",--
248,North Carolina,ACC,Robert Gillespie,"$382,000","$382,000","$63,667","$3,207,000",--
249,Michigan State,Big Ten,Chuck Bullough,"$380,001","$380,001","$131,539","$4,526,009",--
250,Texas Tech,Big 12,Kevin Johns,"$380,000","$380,000","$126,667","$3,008,000",--
251,Central Florida,AAC,Glen Elarbee,"$375,000","$375,000",$0,"$2,365,000",--
252,Arizona State,Pac-12,Charlie Fisher,"$375,000","$375,000","$107,500","$3,730,000",--
253,Mississippi State,SEC,Brian Baker,"$375,000","$375,000","$31,250","$3,575,000",--
254,Georgia,SEC,Cortez Hankton,"$375,000","$375,000","$180,000","$6,420,000",--
255,Nebraska,Big Ten,Mario Verduzco,"$375,000","$375,000","$150,000","$4,500,000",--
256,Arizona State,Pac-12,Dave Christensen,"$375,000","$375,000","$107,500","$3,730,000",--
257,Florida State,ACC,Telly Lockette,"$375,000","$375,000","$67,500","$5,715,000",--
258,Kentucky,SEC,Brad White,"$375,000","$375,000","$62,500","$4,356,000",--
259,Virginia,ACC,Kelly Poppinga,"$375,000","$375,000","$87,501","$2,975,000",--
260,Louisville,ACC,Lorenzo Ward,"$375,000","$375,000",$0,"$4,222,000",--
261,Oklahoma State,Big 12,Tim Duffie,"$375,000","$375,000","$108,750","$4,150,000",--
262,Clemson,ACC,Mickey Conn,"$370,000","$371,500","$95,000","$6,825,000",--
263,Wisconsin,Big Ten,Robert Bostad,"$370,200","$370,200",$0,"$4,114,500",--
264,Wisconsin,Big Ten,John Settle,"$370,200","$370,200",$0,"$4,114,500",--
265,Florida State,ACC,Donte Pimpleton,"$370,000","$370,000","$62,500","$5,715,000",--
266,Arkansas,SEC,Jeff Traylor,"$370,000","$370,000","$123,333","$3,945,000",--
267,North Carolina State,ACC,George McDonald,"$367,455","$367,455","$100,000","$3,736,201",--
268,Maryland,Big Ten,Chuck Heater,"$365,000","$365,000","$150,000","$3,600,000",--
269,Missouri,SEC,Joe Jon Finley,"$365,000","$365,000","$117,200","$4,380,000",--
270,Missouri,SEC,Cornell Ford,"$360,500","$360,500","$208,440","$4,380,000",--
271,Memphis,AAC,Joe Lorig,"$360,000","$360,000","$30,000","$2,635,000",--
272,Arkansas,SEC,Steve Caldwell,"$360,000","$360,000","$120,000","$3,945,000",--
273,Oregon,Pac-12,Jim Mastro,"$360,000","$360,000","$130,000","$5,345,000",--
274,Washington,Pac-12,Keith Bhonapha,"$355,008","$355,008","$91,000","$5,465,040",--
275,Washington,Pac-12,Ikaika Malloe,"$355,008","$355,008","$91,000","$5,465,040",--
276,Boise State,Mt. West,Andy Avalos,"$355,000","$355,000","$45,125","$2,345,018",--
277,Tennessee,SEC,Chris Weinke,"$355,000","$355,000","$49,000","$5,675,000",--
278,Iowa,Big Ten,Tim Polasek,"$355,000","$355,000",$0,"$4,345,000",--
279,Arkansas,SEC,Ron Cooper,"$355,000","$355,000","$118,333","$3,945,000",--
280,Florida,SEC,Ron English,"$351,500","$351,500","$140,000","$4,855,000",--
281,Auburn,SEC,Travis Williams,"$350,000","$350,500","$127,500","$6,555,600",--
282,Auburn,SEC,Kodi Burns,"$350,000","$350,500","$127,500","$6,555,600",--
283,Wyoming,Mt. West,Brent Vigen,"$350,000","$350,470",$0,"$1,924,297",--
284,Mississippi State,SEC,Terrell Buckley,"$350,000","$350,000","$29,167","$3,575,000",--
285,Mississippi,SEC,Jon Sumrall,"$350,000","$350,000",$0,"$5,025,000",--
286,Rutgers,Big Ten,AJ Blazek,"$350,000","$350,000","$29,167","$3,129,155",--
287,Mississippi State,SEC,Charles Huff,"$350,000","$350,000","$29,167","$3,575,000",--
288,Texas,Big 12,Drew Mehringer,"$350,000","$350,000","$95,000","$5,955,000",--
289,Florida Atlantic,C-USA,Tony Pecoraro,"$350,000","$350,000","$5,000","$1,500,000",--
290,Iowa,Big Ten,LeVar Woods,"$350,000","$350,000",$0,"$4,345,000",--
291,UCLA,Pac-12,Roy Manning,"$350,000","$350,000","$100,000","$4,170,000",--
292,Virginia,ACC,Garett Tujague,"$350,000","$350,000","$87,500","$2,975,000",--
293,South Florida,AAC,Brian Jean-Mary,"$350,000","$350,000","$40,000","$1,795,000",--
294,Kentucky,SEC,Dean Hood,"$350,000","$350,000","$58,333","$4,356,000",--
295,Alabama,SEC,Karl Scott,"$350,000","$350,000","$77,000","$6,123,723",--
296,Arkansas,SEC,Barry Lunney Jr.,"$350,000","$350,000","$116,667","$3,945,000",--
297,Michigan,Big Ten,Al Washington,"$350,000","$350,000","$116,667","$5,875,000",--
298,Oklahoma State,Big 12,Dan Hammerschmidt,"$350,000","$350,000","$102,500","$4,150,000",--
299,Utah,Pac-12,Sharrieff Shah,"$350,000","$350,000","$29,167","$3,625,000",--
300,Arkansas,SEC,Justin Stepp,"$350,000","$350,000","$116,667","$3,945,000",--
301,Mississippi,SEC,Charles Clark,"$350,000","$350,000",$0,"$5,025,000",--
